Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:46:51.511,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
2025-10-20 08:46:52.511,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
2025-10-20 08:47:00.526,WeighFeeder,Other,Rolling_Avg,37.38,Good,WF with current data.csv
2025-10-20 08:47:07.517,WeighFeeder,CVB_109,Motor_Current,22.33,Good,WF with current data.csv
2025-10-20 08:47:07.517,WeighFeeder,CVB_13A,Motor_Current,14.64,Good,WF with current data.csv
2025-10-20 08:47:08.508,WeighFeeder,CVB_109,Motor_Current,22.91,Good,WF with current data.csv
2025-10-20 08:47:08.508,WeighFeeder,CVB_13A,Motor_Current,14.75,Good,WF with current data.csv
2025-10-20 08:47:09.513,WeighFeeder,FEB_002,Load,0.08,Good,WF with current data.csv
2025-10-20 08:47:10.512,WeighFeeder,Other,Rolling_Avg,34.92,Good,WF with current data.csv
2025-10-20 08:47:10.512,WeighFeeder,FEB_002,Load,0.08,Good,WF with current data.csv
2025-10-20 08:47:15.833,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
2025-10-20 08:47:15.833,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:47:15.833,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:47:15.833,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:47:20.517,WeighFeeder,Other,Rolling_Avg,35.06,Good,WF with current data.csv
2025-10-20 08:47:25.520,WeighFeeder,CVB_13A,Motor_Current,15.04,Good,WF with current data.csv
2025-10-20 08:47:25.520,WeighFeeder,CVB_109,Motor_Current,24.38,Good,WF with current data.csv
2025-10-20 08:47:26.513,WeighFeeder,CVB_13A,Motor_Current,15.09,Good,WF with current data.csv
2025-10-20 08:47:26.513,WeighFeeder,CVB_109,Motor_Current,23.43,Good,WF with current data.csv
2025-10-20 08:47:28.518,WeighFeeder,FEB_002,Load,0.06,Good,WF with current data.csv
2025-10-20 08:47:29.518,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
